,Export,Import,Year,Export_Value,Export_Value_(t-1),GDP_i(t-1),GDP_j(t-1),GDPPC_i(t-1),GDPPC_j(t-1),D_ij,FTA_1,FTA_2
48,Turkey,Italy,2004,4641198.801,3194796.6,314592428076.487,1574145823927.77,4760.1040190451,27465.6752987224,1911.13,0,1
49,Turkey,Netherlands,2004,2138004.261,1525929.493,314592428076.487,578792325056.433,4760.1040190451,35672.2065978453,2690.54,0,1
50,Turkey,Norway,2004,206258.337,171419.646,314592428076.487,228858506821.841,4760.1040190451,50134.8907734947,2989.43,1,0
51,Turkey,Spain,2004,2619039.938,1792155.359,314592428076.487,905492099322.799,4760.1040190451,21463.4426577449,3401.22,0,1
52,Turkey,Switzerland,2004,441909.878,356876.697,314592428076.487,363063293977.872,4760.1040190451,49470.3971259674,2328.95,1,0
53,Turkey,United Kingdom,2004,5543924.406,3670092.528,314592428076.487,2057093877551.02,4760.1040190451,34487.4675722539,3332.78,0,1
54,Turkey,United States,2004,4848743.205,3753865.295,314592428076.487,11458243878000.0,4760.1040190451,39496.4858751381,10153.51,0,1
55,Turkey,China,2005,549763.633,391585.394,408876042651.701,1955347004965.69,6101.63211660696,1508.66809788453,6083.43,0,1
56,Turkey,France,2005,3805760.031,3668417.719,408876042651.701,2115742488204.62,6101.63211660696,33741.2619183406,2803.41,0,1
57,Turkey,Germany,2005,9455049.952,8745282.461,408876042651.701,2809187981127.39,6101.63211660696,34044.0536341248,2332.79,0,1
58,Turkey,Iceland,2005,17787.965,9812.496,408876042651.701,13825302535.7699,6101.63211660696,47334.9306537723,4433.0,1,0
59,Turkey,Italy,2005,5618163.755,4641198.801,408876042651.701,1803226967966.23,6101.63211660696,31259.7164954309,1911.13,0,1
60,Turkey,Netherlands,2005,2469581.847,2138004.261,408876042651.701,657171591755.649,6101.63211660696,40362.3947822685,2690.54,0,1
61,Turkey,Norway,2005,245164.826,206258.337,408876042651.701,264511630666.983,6101.63211660696,57603.836021826,2989.43,1,0
62,Turkey,Spain,2005,3011041.198,2619039.938,408876042651.701,1067093369754.16,6101.63211660696,24861.2827964413,3401.22,0,1
63,Turkey,Switzerland,2005,557896.179,441909.878,408876042651.701,405531321270.607,6101.63211660696,54878.4710009787,2328.95,1,0
64,Turkey,United Kingdom,2005,5917162.703,5543924.406,408876042651.701,2421814353716.59,6101.63211660696,40371.7108259838,3332.78,0,1
65,Turkey,United States,2005,4910817.087,4848743.205,408876042651.701,12213729147000.0,6101.63211660696,41712.8010675545,10153.51,0,1
66,Turkey,China,2006,693037.514,549763.633,506308311476.63,2285965892364.2,7456.2961006749,1753.41782926104,6083.43,0,1
67,Turkey,France,2006,4604349.258,3805760.031,506308311476.63,2196126103718.44,7456.2961006749,34760.1850154731,2803.41,0,1
68,Turkey,Germany,2006,9686234.819,9455049.952,506308311476.63,2845802760850.64,7456.2961006749,34507.3688142332,2332.79,0,1
69,Turkey,Iceland,2006,21670.882,17787.965,506308311476.63,16852963067.0496,7456.2961006749,56794.8501588953,4433.0,1,0
70,Turkey,Italy,2006,6752346.42,5618163.755,506308311476.63,1857524312896.41,7456.2961006749,32043.1403684119,1911.13,0,1
71,Turkey,Netherlands,2006,2539245.676,2469581.847,506308311476.63,685092650167.89,7456.2961006749,41979.0558457881,2690.54,0,1
72,Turkey,Norway,2006,260895.988,245164.826,506308311476.63,308884284051.222,7456.2961006749,66810.478520868,2989.43,1,0
73,Turkey,Spain,2006,3721542.494,3011041.198,506308311476.63,1153285660987.44,7456.2961006749,26419.2968638221,3401.22,0,1
74,Turkey,Switzerland,2006,906699.84,557896.179,506308311476.63,420544947799.55,7456.2961006749,56546.7856553987,2328.95,1,0
75,Turkey,United Kingdom,2006,6814300.847,5917162.703,506308311476.63,2544829090909.09,7456.2961006749,42132.0907219815,3332.78,0,1
76,Turkey,United States,2006,5061329.781,4910817.087,506308311476.63,13036640230000.0,7456.2961006749,44114.7477810544,10153.51,0,1
77,Turkey,China,2007,1039523.082,693037.514,557057829051.453,2752131773358.92,8101.85692374776,2099.22943460734,6083.43,0,1
78,Turkey,France,2007,5974462.389,4604349.258,557057829051.453,2318593651988.46,8101.85692374776,36443.6263055433,2803.41,0,1
79,Turkey,Germany,2007,11993232.454,9686234.819,557057829051.453,2992196713084.93,8101.85692374776,36323.4477421822,2332.79,0,1
80,Turkey,Iceland,2007,10653.485,21670.882,557057829051.453,17465318552.2941,8101.85692374776,57492.9342498703,4433.0,1,0
81,Turkey,Italy,2007,7480060.276,6752346.42,557057829051.453,1947919708944.93,8101.85692374776,33501.6581673044,1911.13,0,1
82,Turkey,Netherlands,2007,3018878.048,2539245.676,557057829051.453,733340860619.747,8101.85692374776,44863.3506314287,2690.54,0,1
83,Turkey,Norway,2007,375339.81,260895.988,557057829051.453,345581369965.54,8101.85692374776,74148.3200757187,2989.43,1,0
84,Turkey,Spain,2007,4580228.479,3721542.494,557057829051.453,1259343871534.31,8101.85692374776,28365.3134896346,3401.22,0,1
85,Turkey,Switzerland,2007,941983.426,906699.84,557057829051.453,443801905407.561,8101.85692374776,59300.6172165015,2328.95,1,0
86,Turkey,United Kingdom,2007,8626776.278,6814300.847,557057829051.453,2717059797608.1,8101.85692374776,44654.0969208924,3332.78,0,1
87,Turkey,United States,2007,4177593.149,5061329.781,557057829051.453,13814611414000.0,8101.85692374776,46298.7314440927,10153.51,0,1
88,Turkey,China,2008,1437203.856,1039523.082,681337335021.874,3550342737009.53,9791.88245001167,2693.97006340427,6083.43,0,1
89,Turkey,France,2008,6617511.162,5974462.389,681337335021.874,2657213249384.07,9791.88245001167,41508.4326882318,2803.41,0,1
90,Turkey,Germany,2008,12951754.833,11993232.454,681337335021.874,3421229126745.14,9791.88245001167,41587.2128984264,2332.79,0,1
91,Turkey,Iceland,2008,11121.945,10653.485,681337335021.874,21652505596.7528,9791.88245001167,69495.7267376825,4433.0,1,0
92,Turkey,Italy,2008,7818988.168,7480060.276,681337335021.874,2210292636189.43,9791.88245001167,37822.6652377427,1911.13,0,1
93,Turkey,Netherlands,2008,3143835.453,3018878.048,681337335021.874,847481522036.682,9791.88245001167,51733.4421317965,2690.54,0,1
94,Turkey,Norway,2008,391174.156,375339.81,681337335021.874,400937100158.657,9791.88245001167,85139.9604469545,2989.43,1,0
95,Turkey,Spain,2008,4047280.402,4580228.479,681337335021.874,1472131125102.66,9791.88245001167,32549.9709785513,3401.22,0,1
96,Turkey,Switzerland,2008,2859431.523,941983.426,681337335021.874,493537376707.764,9791.88245001167,65359.5192218269,2328.95,1,0
97,Turkey,United Kingdom,2008,8158669.011,8626776.278,681337335021.874,3106182472989.2,9791.88245001167,50653.2569148306,3332.78,0,1
98,Turkey,United States,2008,4316424.238,4177593.149,681337335021.874,14451858656000.0,9791.88245001167,47975.9676958038,10153.51,0,1
99,Turkey,China,2009,1600296.212,1437203.856,770462156204.38,4594307032667.98,10941.172146426,3468.30460207977,6083.43,0,1
100,Turkey,France,2009,6211415.361,6617511.162,770462156204.38,2918382891460.38,10941.172146426,45334.117956922,2803.41,0,1
101,Turkey,Germany,2009,9793005.648,12951754.833,770462156204.38,3730027830672.33,10941.172146426,45427.151677489,2332.79,0,1
102,Turkey,Iceland,2009,6246.257,11121.945,770462156204.38,18074622987.0185,10941.172146426,56943.3704468563,4433.0,1,0
103,Turkey,Italy,2009,5888958.025,7818988.168,770462156204.38,2398856598798.89,10941.172146426,40778.3427367209,1911.13,0,1
104,Turkey,Netherlands,2009,2127296.707,3143835.453,770462156204.38,947997656364.435,10941.172146426,57644.4799749353,2690.54,0,1
105,Turkey,Norway,2009,388949.94,391174.156,770462156204.38,462250000000.0,10941.172146426,96944.0956064873,2989.43,1,0
106,Turkey,Spain,2009,2818591.68,4047280.402,770462156204.38,1625224842536.99,10941.172146426,35366.2596011983,3401.22,0,1
107,Turkey,Switzerland,2009,3940363.327,2859431.523,770462156204.38,570304197211.707,10941.172146426,74572.232372807,2328.95,1,0
108,Turkey,United Kingdom,2009,5937997.069,8158669.011,770462156204.38,2938882352941.18,10941.172146426,47549.3486286006,3332.78,0,1
109,Turkey,United States,2009,3250109.121,4316424.238,770462156204.38,14712844084000.0,10941.172146426,48382.5584490552,10153.51,0,1
110,Turkey,China,2010,2269175.473,1600296.212,649272568774.193,5101703073088.97,9103.47405061243,3832.23643246922,6083.43,0,1
111,Turkey,France,2010,6054499.243,6211415.361,649272568774.193,2690222283967.77,9103.47405061243,41575.4219609625,2803.41,0,1
112,Turkey,Germany,2010,11479065.525,9793005.648,649272568774.193,3397791053070.3,9103.47405061243,41485.9016495139,2332.79,0,1
113,Turkey,Iceland,2010,7454.174,6246.257,649272568774.193,13154414219.207,9103.47405061243,41301.273219718,4433.0,1,0
114,Turkey,Italy,2010,6505276.857,5888958.025,649272568774.193,2191241872742.43,9103.47405061243,37079.7586704546,1911.13,0,1
115,Turkey,Netherlands,2010,2461371.085,2127296.707,649272568774.193,868077243678.8,9103.47405061243,52514.0271165323,2690.54,0,1
116,Turkey,Norway,2010,343911.372,388949.94,649272568774.193,386190385318.767,9103.47405061243,79977.6970817492,2989.43,1,0
117,Turkey,Spain,2010,3536246.847,2818591.68,649272568774.193,1485583495415.39,9103.47405061243,32042.4740786617,3401.22,0,1
118,Turkey,Switzerland,2010,2065015.263,3940363.327,649272568774.193,558199868578.256,9103.47405061243,72083.167695454,2328.95,1,0
119,Turkey,United Kingdom,2010,7235861.129,5937997.069,649272568774.193,2425798410967.44,9103.47405061243,38952.2110262455,3332.78,0,1
120,Turkey,United States,2010,3766033.892,3250109.121,649272568774.193,14448933025000.0,9103.47405061243,47099.9804711343,10153.51,0,1
121,Turkey,China,2011,2466316.097,2269175.473,776992599946.766,6087163874510.73,10742.7749787626,4550.45310775599,6083.43,0,1
122,Turkey,France,2011,6805821.456,6054499.243,776992599946.766,2642609548930.36,10742.7749787626,40638.3352541414,2803.41,0,1
123,Turkey,Germany,2011,13950825.467,11479065.525,776992599946.766,3396354075663.73,10742.7749787626,41531.9341978689,2332.79,0,1
124,Turkey,Iceland,2011,13746.379,7454.174,776992599946.766,13751161917.7398,10742.7749787626,43237.0729488958,4433.0,1,0
125,Turkey,Italy,2011,7851479.976,6505276.857,776992599946.766,2134017843247.16,10742.7749787626,36000.5201179254,1911.13,0,1
126,Turkey,Netherlands,2011,3243079.564,2461371.085,776992599946.766,846554894931.084,10742.7749787626,50950.0343435181,2690.54,0,1
127,Turkey,Norway,2011,379523.021,343911.372,776992599946.766,428757038466.841,10742.7749787626,87693.7900658099,2989.43,1,0
128,Turkey,Spain,2011,3917600.336,3536246.847,776992599946.766,1420722034063.0,10742.7749787626,30502.7197080776,3401.22,0,1
129,Turkey,Switzerland,2011,1493982.948,2065015.263,776992599946.766,603434493402.679,10742.7749787626,77117.126014204,2328.95,1,0
130,Turkey,United Kingdom,2011,8151430.057,7235861.129,776992599946.766,2491110093454.18,10742.7749787626,39688.6149684498,3332.78,0,1
131,Turkey,United States,2011,4585849.36,3766033.892,776992599946.766,14992052727000.0,10742.7749787626,48466.6576026922,10153.51,0,1
132,Turkey,China,2012,2833255.27,2466316.097,838762755164.179,7551500124197.17,11420.5554558378,5614.35213522114,6083.43,0,1
133,Turkey,France,2012,6198536.242,6805821.456,838762755164.179,2861408170264.6,11420.5554558378,43790.7260166781,2803.41,0,1
134,Turkey,Germany,2012,13124374.835,13950825.467,838762755164.179,3744408602683.94,11420.5554558378,46644.776027968,2332.79,0,1
135,Turkey,Iceland,2012,15995.759,13746.379,838762755164.179,15221622925.9319,11420.5554558378,47714.5922308485,4433.0,1,0
136,Turkey,Italy,2012,6373079.588,7851479.976,838762755164.179,2291991045770.29,11420.5554558378,38599.0622070322,1911.13,0,1
137,Turkey,Netherlands,2012,3244428.597,3243079.564,838762755164.179,904085980796.018,11420.5554558378,54159.3466126142,2690.54,0,1
138,Turkey,Norway,2012,450621.075,379523.021,838762755164.179,498283438454.281,11420.5554558378,100600.562407589,2989.43,1,0
139,Turkey,Spain,2012,3717345.194,3917600.336,838762755164.179,1478772824224.03,11420.5554558378,31636.4463142558,3401.22,0,1
140,Turkey,Switzerland,2012,2134517.373,1493982.948,838762755164.179,722038242134.62,11420.5554558378,91254.0347609687,2328.95,1,0
141,Turkey,United Kingdom,2012,8693598.733,8151430.057,838762755164.179,2674891473843.81,11420.5554558378,42284.8844902996,3332.78,0,1
142,Turkey,United States,2012,5606487.258,4585849.36,838762755164.179,15542581104000.0,11420.5554558378,49882.5581321495,10153.51,0,1
143,Turkey,China,2013,3600865.335,2833255.27,880556375779.51,8532229986993.65,11795.6334567571,6300.61511825789,6083.43,0,1
144,Turkey,France,2013,6376703.538,6198536.242,880556375779.51,2683825225092.63,11795.6334567571,40874.7003927338,2803.41,0,1
145,Turkey,Germany,2013,13702577.121,13124374.835,880556375779.51,3527344944139.83,11795.6334567571,43858.3630551076,2332.79,0,1
146,Turkey,Iceland,2013,13869.035,15995.759,880556375779.51,14751508133.5443,11795.6334567571,45995.5478789467,4433.0,1,0
147,Turkey,Italy,2013,6718355.101,6373079.588,880556375779.51,2087077032435.15,11795.6334567571,35053.5262442572,1911.13,0,1
148,Turkey,Netherlands,2013,3538042.78,3244428.597,880556375779.51,838971306990.906,11795.6334567571,50073.0056559308,2690.54,0,1
149,Turkey,Norway,2013,618470.694,450621.075,880556375779.51,509506317146.541,11795.6334567571,101524.141851985,2989.43,1,0
150,Turkey,Spain,2013,4334195.627,3717345.194,880556375779.51,1324820091194.67,11795.6334567571,28324.4293363918,3401.22,0,1
151,Turkey,Switzerland,2013,1029568.456,2134517.373,880556375779.51,692109693986.886,11795.6334567571,86547.6708907265,2328.95,1,0
152,Turkey,United Kingdom,2013,8785124.346,8693598.733,880556375779.51,2719158341005.79,11795.6334567571,42686.8000524926,3332.78,0,1
153,Turkey,United States,2013,5641170.471,5606487.258,880556375779.51,16197007349000.0,11795.6334567571,51602.9310457907,10153.51,0,1
154,Turkey,China,2014,2861052.429,3600865.335,957783020853.031,9570406235659.64,12614.7816100386,7020.33848453658,6083.43,0,1
155,Turkey,France,2014,6467862.671,6376703.538,957783020853.031,2811077725703.59,12614.7816100386,42592.9353850549,2803.41,0,1
156,Turkey,Germany,2014,15147423.285,13702577.121,957783020853.031,3732743446218.92,12614.7816100386,46285.7640688407,2332.79,0,1
157,Turkey,Iceland,2014,18098.773,13869.035,957783020853.031,16125060515.3117,12614.7816100386,49804.9829978371,4433.0,1,0
158,Turkey,Italy,2014,7141071.417,6718355.101,957783020853.031,2141315327318.21,12614.7816100386,35549.9746972954,1911.13,0,1
159,Turkey,Netherlands,2014,3458688.921,3538042.78,957783020853.031,876923518850.405,12614.7816100386,52184.0618504931,2690.54,0,1
160,Turkey,Norway,2014,557599.995,618470.694,957783020853.031,522761531914.894,12614.7816100386,102913.450843674,2989.43,1,0
161,Turkey,Spain,2014,4749584.32,4334195.627,957783020853.031,1354757433212.72,12614.7816100386,29059.5479522321,3401.22,0,1
162,Turkey,Switzerland,2014,3219481.178,1029568.456,957783020853.031,712748124222.61,12614.7816100386,88109.4867524037,2328.95,1,0
163,Turkey,United Kingdom,2014,9903171.589,8785124.346,957783020853.031,2803291406029.93,12614.7816100386,43713.8141242308,3332.78,0,1
164,Turkey,United States,2014,6342193.723,5641170.471,957783020853.031,16784849196000.0,12614.7816100386,53106.5367672165,10153.51,0,1
165,Turkey,China,2015,2414932.399,2861052.429,938952628604.067,10475682920597.7,12157.9904337823,7636.11660125502,6083.43,0,1
166,Turkey,France,2015,5850678.547,6467862.671,938952628604.067,2852165760630.27,12157.9904337823,43011.2631028417,2803.41,0,1
167,Turkey,Germany,2015,13418068.177,15147423.285,938952628604.067,3883920155292.26,12157.9904337823,47959.9932737599,2332.79,0,1
168,Turkey,Iceland,2015,67507.883,18098.773,938952628604.067,17867662177.8911,12157.9904337823,54576.7448146565,4433.0,1,0
169,Turkey,Italy,2015,6887871.318,7141071.417,938952628604.067,2159133919743.77,12157.9904337823,35518.4152916749,1911.13,0,1
170,Turkey,Netherlands,2015,3154942.631,3458688.921,938952628604.067,890981311077.658,12157.9904337823,52830.1742328055,2690.54,0,1
171,Turkey,Norway,2015,454014.55,557599.995,938952628604.067,498410050251.256,12157.9904337823,97019.1827527462,2989.43,1,0
172,Turkey,Spain,2015,4742941.45,4749584.32,938952628604.067,1369398844599.58,12157.9904337823,29461.5503337389,3401.22,0,1
173,Turkey,Switzerland,2015,5680809.408,3219481.178,938952628604.067,734396591036.932,12157.9904337823,89684.7075795936,2328.95,1,0
174,Turkey,United Kingdom,2015,10557304.491,9903171.589,938952628604.067,3087165602962.86,12157.9904337823,47787.2412984884,3332.78,0,1
175,Turkey,United States,2015,6396332.2,6342193.723,938952628604.067,17527163695000.0,12157.9904337823,55049.9883272312,10153.51,0,1
176,Turkey,China,2016,2328044.002,2414932.399,864316670330.882,11061553079871.5,11006.2795239649,8016.43143498003,6083.43,0,1
177,Turkey,France,2016,6026215.833,5850678.547,864316670330.882,2438207896251.84,11006.2795239649,36638.184929157,2803.41,0,1
178,Turkey,Germany,2016,13998653.115,13418068.177,864316670330.882,3356235704119.75,11006.2795239649,41086.7296737253,2332.79,0,1
179,Turkey,Iceland,2016,26706.366,67507.883,864316670330.882,17517210519.0912,11006.2795239649,52951.6815110898,4433.0,1,0
180,Turkey,Italy,2016,7580836.964,6887871.318,864316670330.882,1835899237320.04,11006.2795239649,30230.2263021296,1911.13,0,1
181,Turkey,Netherlands,2016,3589431.87,3154942.631,864316670330.882,765264949780.999,11006.2795239649,45175.2318933798,2690.54,0,1
182,Turkey,Norway,2016,559083.828,454014.55,864316670330.882,385801550067.169,11006.2795239649,74355.5158575643,2989.43,1,0
183,Turkey,Spain,2016,4988483.391,4742941.45,864316670330.882,1195119269971.52,11006.2795239649,25732.0183647454,3401.22,0,1
184,Turkey,Switzerland,2016,2680779.345,5680809.408,864316670330.882,702149580770.901,11006.2795239649,84776.1421659748,2328.95,1,0
185,Turkey,United Kingdom,2016,11685790.237,10557304.491,864316670330.882,2956573778737.76,11006.2795239649,45404.5677734722,3332.78,0,1
186,Turkey,United States,2016,6623715.959,6396332.2,864316670330.882,18238300569000.0,11006.2795239649,56863.3714957652,10153.51,0,1
187,Turkey,China,2017,2936261.788,2328044.002,869692960365.551,11233276536744.7,10894.6033779275,8094.36336675194,6083.43,0,1
188,Turkey,France,2017,6589873.896,6026215.833,869692960365.551,2471285607081.72,10894.6033779275,37037.3741861219,2803.41,0,1
189,Turkey,Germany,2017,15118909.842,13998653.115,869692960365.551,3467498002104.33,10894.6033779275,42107.5172703074,2332.79,0,1
190,Turkey,Iceland,2017,199721.944,26706.366,869692960365.551,20793168030.9524,10894.6033779275,61987.9263620283,4433.0,1,0
191,Turkey,Italy,2017,8473470.854,7580836.964,869692960365.551,1875797463583.87,10894.6033779275,30939.7142462298,1911.13,0,1
192,Turkey,Netherlands,2017,3864485.686,3589431.87,869692960365.551,783528181704.567,10894.6033779275,46007.8529206547,2690.54,0,1
193,Turkey,Norway,2017,546713.123,559083.828,869692960365.551,368827142857.143,10894.6033779275,70460.5605323322,2989.43,1,0
194,Turkey,Spain,2017,6302134.822,4988483.391,869692960365.551,1232076017361.53,10894.6033779275,26505.3432155204,3401.22,0,1
195,Turkey,Switzerland,2017,891823.117,2680779.345,869692960365.551,695600652899.283,10894.6033779275,83073.2800824812,2328.95,1,0
196,Turkey,United Kingdom,2017,9603188.772,11685790.237,869692960365.551,2722851958486.23,10894.6033779275,41499.5557033073,3332.78,0,1
197,Turkey,United States,2017,8654623.12,6623715.959,869692960365.551,18745075687000.0,10894.6033779275,58021.4004997125,10153.51,0,1
198,Turkey,China,2018,2915130.704,2936261.788,858996263095.858,12310409370894.2,10589.667724687,8816.98690451989,6083.43,0,1
199,Turkey,France,2018,7296040.82,6589873.896,858996263095.858,2588740901639.81,10589.667724687,38685.2584944953,2803.41,0,1
200,Turkey,Germany,2018,16144214.824,15118909.842,858996263095.858,3681732583768.5,10589.667724687,44542.2952040833,2332.79,0,1
201,Turkey,Iceland,2018,23862.262,199721.944,858996263095.858,24728285177.4603,10589.667724687,72010.1490316258,4433.0,1,0
202,Turkey,Italy,2018,9566345.511,8473470.854,858996263095.858,1956950469673.29,10589.667724687,32326.6742113994,1911.13,0,1
203,Turkey,Netherlands,2018,4778109.03,3864485.686,858996263095.858,831809944960.879,10589.667724687,48554.9922761756,2690.54,0,1
204,Turkey,Norway,2018,513157.644,546713.123,858996263095.858,398393955268.99,10589.667724687,75496.7540581998,2989.43,1,0
205,Turkey,Spain,2018,7710439.527,6302134.822,858996263095.858,1309297246509.31,10589.667724687,28100.5862419453,3401.22,0,1
206,Turkey,Switzerland,2018,1738731.491,891823.117,858996263095.858,704478516963.855,10589.667724687,83352.0886533412,2328.95,1,0
207,Turkey,United Kingdom,2018,11113290.661,9603188.772,858996263095.858,2699016715111.39,10589.667724687,40857.7555829627,3332.78,0,1
208,Turkey,United States,2018,8306524.942,8654623.12,858996263095.858,19542979183000.0,10589.667724687,60109.6557260477,10153.51,0,1
209,Turkey,China,2019,2726407.095,2915130.704,778471901665.148,13894817549380.3,9454.34844272271,9905.34200389253,6083.43,0,1
